number,course,homework,howDIR,whereDIR,R,moodleProblem,RstudioLocal,RCloudorNot,pdfHtmlNotes,forum,socialCommunications,eCommunications,videocalll,social,lectureType,movies,eMeeting,you,preferredNumber,transport,sport,highschool,birthYear,shoesNumber,videotime,siblings,preferredColor,pet,hM,hP,h,soccerTeam,hairColor,eyesColor,sex,weight,hobby,birthMonth,preferredPet,preferredFood,remarks
11,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","Skype
Altro","You Tube
Instagram",Video registrati in differita,NA,"Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,NA,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Scientifico,2001,38,7,0,NA,Nessuno,NA,NA,NA,nessuna,Castani,Marroni,Femmina,NA,"ascoltare la musica
suonare strumenti musicali",12,quokka,NA,NA
12,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Mai,Si,Raramente,pdf,per me così è molto efficace,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
Telegram","WhatsApp
Skype
FaceTime","You Tube
Instagram
Facebook
Altro",Lezioni frontali in Aula,"Netflix
Amazon Prime video
AppleTV+","Zoom
Meet
Skype
Duo",2020 MS1801 9415 A001  GR1,3,Auto personale,"Sci
Tennis/tennis tavolo",Liceo Classico,2000,40,3,1,Blu,"Gatto
Cane",168,182,173,nessuna,Neri,Marroni,Femmina,53,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
guardare documentari, film, telefilm, serie tv, sport
shopping
studiare lingue orientali
tecnologia, pc, scienza
videogiochi",9,delfino,pizza,"aggiungerei il kebab come risposta al cibo preferito 
sondaggio divertente"
13,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,"Skype
Messsanger","You Tube
Instagram
Facebook",Lezioni frontali in Aula,"Netflix
Amazon Prime video
TimVision","Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,3,Autobus,"Ginnastica, aerobica, fitness e cultura fisica
Altro",Liceo Scientifico,2001,38,NA,1,Arancione,"Gatto
Cane",165,170,160,NA,Biondi,Marroni,Femmina,58,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
comporre musica e coreografie
danza
palestra
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",11,cane,pizza,NA
14,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,WhatsApp,Instagram,Lezioni frontali in Aula,NA,"Zoom
Meet",2020 MS1801 9415 A001  GR1,8,Piedi,"Ginnastica, aerobica, fitness e cultura fisica
Sport acquatici
Arti marziali
Running
Altro",Liceo Scientifico,1996,41,6,0,Verde,Nessuno,155,170,174,NA,Biondi,Marroni,Maschio,68,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
giardinaggio, orto
palestra
sport
tecnologia, pc, scienza
videogiochi",9,cane,carne alla griglia,NA
15,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Mai,No,Sempre,html,NA,2020 MS1801 9415 A001  GR1,"whatsapp
messaggi",FaceTime,"You Tube
Instagram",Video registrati in differita,"Netflix
Amazon Prime video","Zoom
Meet
FaceTime",2020 MS1801 9415 A001  GR1,8,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Linguistico,1999,37,1,1,Arancione,"Gatto
Cane",165,180,165,Juventus,Biondi,Marroni,Femmina,48,NA,5,cane,sushi,NA
16,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Skype
Altro","You Tube
Instagram",Video registrati in differita,Netflix,"Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,8,Auto personale,Altro,Altro,2001,36,10,1,Azzurro,"Gatto
Pesci
Rettili",155,170,160,napoli,Castani,Marroni,Femmina,45,"ascoltare la musica
ballare
cantare
cinema
giardinaggio, orto
guardare documentari, film, telefilm, serie tv, sport
moda
palestra
recitazione (stand up comedy)
shopping
suonare strumenti musicali
tecnologia, pc, scienza",1,delfino,salame,NA
17,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Altro","You Tube
Instagram",Lezioni frontali in Aula,Amazon Prime video,Meet,2020 MS1801 9415 A001  GR1,5,Auto personale,Pallavolo/beach volley,Liceo Scientifico,2001,41,8,1,Giallo,Nessuno,170,180,174,juve,Castani,Marroni,Femmina,65,"ascoltare la musica
dipingere, disegnare
guardare documentari, film, telefilm, serie tv, sport
letture particolari: manga, news di natura finanziaria
sport
videogiochi",1,NA,pesce,Animale preferito: drago
18,2020 MS1801 9415 A001  GR1,Molto,Tablet,Casa,Difficile,Raramente,No,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Altro",Instagram,Lezioni frontali in Aula,Netflix,"Zoom
Meet",2020 MS1801 9415 A001  GR1,8,Treno,"Ginnastica, aerobica, fitness e cultura fisica
Sport acquatici",Altro,2001,40,8,1,Nero,Nessuno,167,190,173,Toro,Biondi,Verdi,Femmina,61,"arti orientali: yoga, wing chun
cinema
guardare documentari, film, telefilm, serie tv, sport
moda
videogiochi",3,delfino,avocado,NA
19,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Difficile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime","You Tube
Instagram
Altro",Lezioni frontali in Aula,"Netflix
Amazon Prime video
TimVision","Zoom
Meet",2020 MS1801 9415 A001  GR1,3,Car sharing,"Atletica leggera
Running",Liceo Scientifico,2001,39,2,1,Rosa,Cane,160,180,165,Nessuna,Castani,Verdi,Femmina,57,"ascoltare la musica
cantare
guardare documentari, film, telefilm, serie tv, sport
sport
shopping
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",4,gatto,pizza,NA
20,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",FaceTime,"You Tube
Instagram
Facebook",Lezioni frontali in Aula,"Netflix
Amazon Prime video
TimVision
AppleTV+","Zoom
Meet
FaceTime",2020 MS1801 9415 A001  GR1,10,Auto personale,"Calcio e calcetto
Sci
Tennis/tennis tavolo
Altro",Istituto tecnico settore economico,2001,41,3,1,Blu,Gatto,153,172,172,Juventus,Biondi,Marroni,Maschio,57,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
cinema
sport
shopping
tecnologia, pc, scienza
videogiochi",11,leone,pizza,NA
21,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Talvolta,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime","You Tube
Instagram",Lezioni frontali in Aula,"Netflix
Amazon Prime video
Chili
Infinity
TimVision
AppleTV+","Zoom
Meet
FaceTime",2020 MS1801 9415 A001  GR1,7,Treno,Ciclismo,Altro,2001,46,3,0,Rosso,Nessuno,170,190,193,juventus,Castani,Marroni,Maschio,79,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
sport
suonare strumenti musicali
tecnologia, pc, scienza
volontariato (croce rossa, 118)",7,cane,pollo al curry,NA
22,2020 MS1801 9415 A001  GR1,Molto,Tablet,Casa,Difficile,Talvolta,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
skype
whatsapp","WhatsApp
Skype
FaceTime
Altro","You Tube
Instagram",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,5,Auto personale,NA,Liceo Scientifico,2001,40,8,3,Azzurro,NA,160,165,170,Nessuna,Castani,Marroni,Femmina,70,"ascoltare la musica
cinema
cucinare
guardare documentari, film, telefilm, serie tv, sport
letture particolari: manga, news di natura finanziaria",4,tigre,tiramisù,NA
23,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Spesso,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Skype
Altro","You Tube
Twitter
Instagram
Facebook
Altro",NA,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,5,Treno,Altro,Liceo Scientifico,2001,42.5,1,1,Altro,"Gatto
Cane",NA,175,180,nessuna,Neri,Marroni,Maschio,80,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
cantare
comporre musica e coreografie
moda
palestra
shopping
storia dell’arte
suonare strumenti musicali
videogiochi",1,pantera,lasagne,NA
24,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Mai,Si,Mai,html,"Secondo me bisognerebbbe ordinare le lezioni:
quando si ha lezione online è spesso difficile trovare i video di quel giorno, sarebbe più comodo se fossero ordinati ad esempio come lezione 1 - lezione 2 - etc.",2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",Skype,"Twitter
Instagram
Facebook",Video registrati in differita,Netflix,"Meet
Skype",2020 MS1801 9415 A001  GR1,7,Piedi,"Ginnastica, aerobica, fitness e cultura fisica
Sci
Pallavolo/beach volley
Running",Istituto tecnico settore tecnologico,2000,37.5,5,1,Verde,"Gatto
Cane",160,170,168,noone,Castani,Marroni,Femmina,58,"arti orientali: yoga, wing chun
ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
cucinare
dipingere, disegnare
fotografia
guardare documentari, film, telefilm, serie tv, sport
sport
scrittura
shopping
storia dell’arte
tecnologia, pc, scienza
turismo",4,alpaca,pizza,NA
25,2020 MS1801 9415 A001  GR1,Molto,Tablet,Casa,Qualche volta utile,Talvolta,Si,Mai,html,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","FaceTime
Altro","You Tube
Instagram",Video delle lezioni in Aula in diretta streaming,Netflix,"Zoom
Meet
FaceTime",2020 MS1801 9415 A001  GR1,1,Treno,"Ginnastica, aerobica, fitness e cultura fisica",Istituto tecnico settore economico,2002,45,5,0,Nero,Cane,NA,NA,180,NA,Castani,Verdi,Maschio,75,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
guardare documentari, film, telefilm, serie tv, sport
palestra
sport",2,cane,pizza,NA
26,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",FaceTime,"You Tube
Instagram",Video registrati in differita,"Netflix
Amazon Prime video","Zoom
FaceTime",2020 MS1801 9415 A001  GR1,7,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Classico,2001,38,5,1,Verde,Cane,160,180,168,NA,Castani,Marroni,Femmina,60,"ascoltare la musica
ballare
guardare documentari, film, telefilm, serie tv, sport
moda
shopping
suonare strumenti musicali
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",1,alpaca,sushi,NA
27,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Difficile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,Skype,Twitter,Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),Netflix,Skype,2020 MS1801 9415 A001  GR1,8,Autobus,NA,Altro,2001,38,2,2,Rosso,Gatto,167,170,165,Milan,Castani,Marroni,Femmina,50,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
guardare documentari, film, telefilm, serie tv, sport
suonare strumenti musicali
videogiochi",7,tigre,spaghetti alla carbonara,NA
28,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Talvolta,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Altro","You Tube
Instagram",Video registrati in differita,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,8,Auto personale,Tennis/tennis tavolo,Liceo Scientifico,2001,37,6,0,Azzurro,Cane,158,165,165,nessuna,Castani,Verdi,Femmina,49,"ascoltare la musica
cinema
cucinare
moda",8,cane,pizza,NA
29,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Spesso,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"whatsapp
messaggi
twitter","WhatsApp
Skype","You Tube
Twitter
Instagram",Lezioni frontali in Aula,Netflix,Meet,2020 MS1801 9415 A001  GR1,2,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Running",Istituto tecnico settore economico,1999,38,6,1,Rosa,Cane,165,170,156,Juventus,Castani,Marroni,Femmina,52,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
guardare documentari, film, telefilm, serie tv, sport
moda
palestra
sport
storia dell’arte
tecnologia, pc, scienza
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",8,cane,cheesecake,NA
30,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Difficile,Raramente,No,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
skype
whatsapp
Altro","WhatsApp
Skype
Altro","You Tube
Instagram",Video registrati in differita,Amazon Prime video,"Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,3,Auto personale,"Calcio e calcetto
Ginnastica, aerobica, fitness e cultura fisica
Arti marziali
Tennis/tennis tavolo
Running
Altro",Altro,2001,43,4,1,Rosso,Nessuno,155,167,175,milan,Castani,Marroni,Maschio,62,"arti orientali: yoga, wing chun
ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
comporre musica e coreografie
fotografia
guardare documentari, film, telefilm, serie tv, sport
letture particolari: manga, news di natura finanziaria
palestra
sport
tecnologia, pc, scienza
videogiochi",9,lupo,pizza,NA
31,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Altro","You Tube
Instagram
Facebook",Lezioni frontali in Aula,Amazon Prime video,"Zoom
Meet",2020 MS1801 9415 A001  GR1,7,Auto personale,"Calcio e calcetto
Sci
Running",Altro,1999,43,2,1,Azzurro,"Gatto
Cane",165,180,185,Inter,Castani,Marroni,Maschio,73,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
guardare documentari, film, telefilm, serie tv, sport
motori
sport
videogiochi",9,leone,pollo al curry,NA
32,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Spesso,pdf,.,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",WhatsApp,"You Tube
Instagram",Lezioni frontali in Aula,Amazon Prime video,"Zoom
Meet",2020 MS1801 9415 A001  GR1,0,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Alpinismo
Sci
Pallavolo/beach volley",Liceo Scientifico,2001,46,4,1,Bianco,Gatto,175,190,193,.,Castani,Marroni,Maschio,82,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
cucinare
moda
palestra
sport",2,volpe,cheesecake,NA
33,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Raramente,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,Skype,"You Tube
Instagram
Facebook",Video registrati in differita,Netflix,Meet,2020 MS1801 9415 A001  GR1,9,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",NA,2001,40.5,4,0,Rosso,Cane,155,170,170,juventus,Castani,Marroni,Maschio,56,"ascoltare la musica
guardare documentari, film, telefilm, serie tv, sport
motori
palestra
sport
videogiochi",7,puma,pizza,NA
34,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Difficile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,WhatsApp,Instagram,Video delle lezioni in Aula in diretta streaming,Netflix,Skype,2020 MS1801 9415 A001  GR1,8,Auto personale,Altro,Istituto tecnico settore tecnologico,1998,38,1,0,Nero,Cane,153,170,165,nessuna,Neri,Marroni,Femmina,52,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
cucinare
fotografia
guardare documentari, film, telefilm, serie tv, sport
shopping
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",7,tigre,pizza,NA
35,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,NA,Si,NA,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi","WhatsApp
Messsanger","Instagram
Facebook",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,NA,Piedi,"Sport acquatici
Ciclismo
Running",Liceo Classico,2001,36,NA,1,Verde,Gatto,170,175,165,NA,Castani,Verdi,Femmina,52,"camminare, escursionismo montano, passeggiare, andare a cavallo
guardare documentari, film, telefilm, serie tv, sport
palestra
turismo
volontariato (croce rossa, 118)",2,koala,parmigiana,NA
36,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Inutile,Talvolta,Si,Spesso,html,NA,2020 MS1801 9415 A001  GR1,whatsapp,WhatsApp,"You Tube
Instagram",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,2,Treno,Running,Liceo Scientifico,2002,38.5,2,2,Altro,"Pesci
Uccelli",NA,NA,160,JUVE,Castani,Marroni,Femmina,NA,"cinema
dipingere, disegnare
fotografia
scrittura",2,cane,patatine fritte,NA
37,2020 MS1801 9415 A001  GR1,Molto,Telefono,Casa,Spesso utile,Talvolta,No,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,FaceTime,Instagram,Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,2,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Tennis/tennis tavolo",Liceo Scientifico,2000,38,4,1,Rosa,"Gatto
Cane
Pesci
Rettili",164,178,165,Milan,Biondi,Verdi,Femmina,54,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cucinare
palestra
sport",7,gatto,cioccolato,NA
38,2020 MS1801 9415 A001  GR1,Poco,Tablet,Casa,Raramente utile,Talvolta,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
Altro","WhatsApp
FaceTime
Altro","You Tube
Instagram",Lezioni frontali in Aula,Netflix,Meet,2020 MS1801 9415 A001  GR1,3,Auto personale,"Calcio e calcetto
Ginnastica, aerobica, fitness e cultura fisica
Running
Altro",Istituto tecnico settore tecnologico,1998,47,2,1,Nero,"Gatto
Cane
Pesci
Altro",164,178,181,Juventus,Rossi,Marroni,Maschio,97,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
cinema
cucinare
dipingere, disegnare
guardare documentari, film, telefilm, serie tv, sport
letture particolari: manga, news di natura finanziaria
moda
motori
palestra
scrittura
shopping
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)
videogiochi
volontariato (croce rossa, 118)",5,lupo,hamburger,NA
